survey_year,birth_year,homo_agree
2009,1950,.1
2009,1951,.1951219
2009,1952,.0588235
2009,1953,.075
2009,1954,.1707317
2009,1955,.1142857
2009,1956,.21875
2009,1957,.1621622
2009,1958,.225
2009,1959,.1428571
2009,1960,.245614
2009,1961,.25
2009,1962,.137931
2009,1963,.1666667
2009,1964,.3142857
2009,1965,.2
2009,1966,.2
2009,1967,.2727273
2009,1968,.1212121
2009,1969,.3043478
2009,1970,.3111111
2009,1971,.25
2009,1972,.2647059
2009,1973,.3333333
2009,1974,.3478261
2009,1975,.4814815
2009,1976,.5294118
2009,1977,.3589744
2009,1978,.3529412
2009,1979,.5263158
2009,1980,.452381
2009,1981,.4210526
2009,1982,.5277778
2009,1983,.5675676
2009,1984,.5833333
2009,1985,.7222222
2009,1986,.6875
2009,1987,.5454546
2009,1988,.6176471
2009,1989,.6153846
2012,1950,.36
2012,1951,.4
2012,1952,.3461539
2012,1953,.3658537
2012,1954,.2888889
2012,1955,.3783784
2012,1956,.3809524
2012,1957,.4814815
2012,1958,.35
2012,1959,.4864865
2012,1960,.4
2012,1961,.5
2012,1962,.4242424
2012,1963,.4871795
2012,1964,.375
2012,1965,.5762712
2012,1966,.4848485
2012,1967,.5833333
2012,1968,.6666667
2012,1969,.4761905
2012,1970,.5277778
2012,1971,.7428572
2012,1972,.6388889
2012,1973,.5384616
2012,1974,.6764706
2012,1975,.74
2012,1976,.6046512
2012,1977,.8064516
2012,1978,.7
2012,1979,.6444445
2012,1980,.6666667
2012,1981,.6923077
2012,1982,.6875
2012,1983,.7777778
2012,1984,.6666667
2012,1985,.6785714
2012,1986,.875
2012,1987,.9230769
2012,1988,.7714286
2012,1989,.75
2012,1990,.8333333
2015,1950,.3333333
2015,1951,.2758621
2015,1952,.25
2015,1953,.3571429
2015,1954,.3055556
2015,1955,.4193548
2015,1956,.4
2015,1957,.375
2015,1958,.4324324
2015,1959,.4516129
2015,1960,.5
2015,1961,.4038461
2015,1962,.5384616
2015,1963,.4791667
2015,1964,.4285714
2015,1965,.4871795
2015,1966,.5
2015,1967,.5333334
2015,1968,.6511628
2015,1969,.5
2015,1970,.5277778
2015,1971,.7073171
2015,1972,.5142857
2015,1973,.6857143
2015,1974,.6222222
2015,1975,.6666667
2015,1976,.6578947
2015,1977,.8
2015,1978,.8055556
2015,1979,.7631579
2015,1980,.7666667
2015,1981,.7941176
2015,1982,.8965517
2015,1983,.8125
2015,1984,.8064516
2015,1985,.8333333
2015,1986,.7857143
2015,1987,.9615384
2015,1988,.8387097
2015,1989,.6571429
2015,1990,.8372093
